SortOrder,LocID,Notes,ISO3_code,ISO2_code,SDMX_code,LocTypeID,LocTypeName,ParentID,Location,VarID,Variant,Time,MidPeriod,AgeGrp,AgeGrpStart,AgeGrpSpan,DeathMale,DeathFemale,DeathTotal
128,704,"",VNM,VN,704,4,Country/Area,920,Viet Nam,2,Medium,1950,1950.5,0,0,1,52.942,42.128,95.07
128,704,"",VNM,VN,704,4,Country/Area,920,Viet Nam,2,Medium,1950,1950.5,1,1,1,11.245,8.511,19.756
128,704,"",VNM,VN,704,4,Country/Area,920,Viet Nam,2,Medium,1950,1950.5,2,2,1,6.818,5.232,12.05
128,704,"",VNM,VN,704,4,Country/Area,920,Viet Nam,2,Medium,1950,1950.5,3,3,1,4.74,3.624,8.363
128,704,"",VNM,VN,704,4,Country/Area,920,Viet Nam,2,Medium,1950,1950.5,4,4,1,3.453,2.608,6.061
128,704,"",VNM,VN,704,4,Country/Area,920,Viet Nam,2,Medium,1950,1950.5,5,5,1,2.565,1.926,4.491
128,704,"",VNM,VN,704,4,Country/Area,920,Viet Nam,2,Medium,1950,1950.5,6,6,1,1.954,1.47,3.424
128,704,"",VNM,VN,704,4,Country/Area,920,Viet Nam,2,Medium,1950,1950.5,7,7,1,1.535,1.164,2.699
128,704,"",VNM,VN,704,4,Country/Area,920,Viet Nam,2,Medium,1950,1950.5,8,8,1,1.249,0.959,2.208
128,704,"",VNM,VN,704,4,Country/Area,920,Viet Nam,2,Medium,1950,1950.5,9,9,1,1.058,0.823,1.881
128,704,"",VNM,VN,704,4,Country/Area,920,Viet Nam,2,Medium,1950,1950.5,10,10,1,0.933,0.736,1.669
128,704,"",VNM,VN,704,4,Country/Area,920,Viet Nam,2,Medium,1950,1950.5,11,11,1,0.858,0.685,1.543
128,704,"",VNM,VN,704,4,Country/Area,920,Viet Nam,2,Medium,1950,1950.5,12,12,1,0.829,0.669,1.498
128,704,"",VNM,VN,704,4,Country/Area,920,Viet Nam,2,Medium,1950,1950.5,13,13,1,0.882,0.684,1.566
128,704,"",VNM,VN,704,4,Country/Area,920,Viet Nam,2,Medium,1950,1950.5,14,14,1,1.039,0.72,1.759
128,704,"",VNM,VN,704,4,Country/Area,920,Viet Nam,2,Medium,1950,1950.5,15,15,1,1.275,0.771,2.046
128,704,"",VNM,VN,704,4,Country/Area,920,Viet Nam,2,Medium,1950,1950.5,16,16,1,1.577,0.834,2.411
128,704,"",VNM,VN,704,4,Country/Area,920,Viet Nam,2,Medium,1950,1950.5,17,17,1,1.886,0.889,2.775
128,704,"",VNM,VN,704,4,Country/Area,920,Viet Nam,2,Medium,1950,1950.5,18,18,1,2.213,0.914,3.127
128,704,"",VNM,VN,704,4,Country/Area,920,Viet Nam,2,Medium,1950,1950.5,19,19,1,2.574,0.919,3.493
128,704,"",VNM,VN,704,4,Country/Area,920,Viet Nam,2,Medium,1950,1950.5,20,20,1,2.909,0.92,3.829
128,704,"",VNM,VN,704,4,Country/Area,920,Viet Nam,2,Medium,1950,1950.5,21,21,1,3.122,0.915,4.038
128,704,"",VNM,VN,704,4,Country/Area,920,Viet Nam,2,Medium,1950,1950.5,22,22,1,3.163,0.911,4.073
128,704,"",VNM,VN,704,4,Country/Area,920,Viet Nam,2,Medium,1950,1950.5,23,23,1,3.16,0.929,4.089
128,704,"",VNM,VN,704,4,Country/Area,920,Viet Nam,2,Medium,1950,1950.5,24,24,1,3.173,0.961,4.133
128,704,"",VNM,VN,704,4,Country/Area,920,Viet Nam,2,Medium,1950,1950.5,25,25,1,3.142,0.986,4.128
128,704,"",VNM,VN,704,4,Country/Area,920,Viet Nam,2,Medium,1950,1950.5,26,26,1,3.098,1.01,4.107
128,704,"",VNM,VN,704,4,Country/Area,920,Viet Nam,2,Medium,1950,1950.5,27,27,1,3.05,1.029,4.079
128,704,"",VNM,VN,704,4,Country/Area,920,Viet Nam,2,Medium,1950,1950.5,28,28,1,2.95,1.028,3.978
128,704,"",VNM,VN,704,4,Country/Area,920,Viet Nam,2,Medium,1950,1950.5,29,29,1,2.815,1.012,3.826
