Index,"Region, subregion, country or area",Note,"Country
code",1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
1,WORLD,,900,29.6065300727334,31.6353576906647,33.7544932274375,35.587250752778,36.594705586032,37.7198358190135,39.3458749965633,41.1987886829064,42.9610276902093,44.7799129182461,46.6770423228887,49.1566419393057,51.6639947068582,53.927846492807,56.1734831845412,58.3297287746679,60.4272893324217,62.4763262559096,64.4737431803098,66.4184093498649,68.3573201320018
2,More developed regions,a,901,54.7678855037533,57.9272897078538,61.0925724018348,64.0597220772461,66.8022854072365,68.8442341566058,70.2887919227552,71.3887553110698,72.3519862534934,73.2986060029083,74.2441341066989,75.8618319791739,77.2454129272756,78.1266909373453,79.0717960516551,80.1608127440733,81.3760538499912,82.6876077620054,84.0413220817776,85.3569599886422,86.5880493517991
3,Less developed regions,b,902,17.6958790515716,19.7096719104244,21.9070630838037,23.9762620066418,25.2694352359272,26.9390144031902,29.4027780446296,32.2335372666883,34.9037010320656,37.4865536823716,40.0530160097894,43.0932154943517,46.1430179713685,48.980517213988,51.7200073478594,54.2783398599401,56.7058182227512,59.0313899524089,61.2651801840954,63.4219108068175,65.5646102642519
4,Least developed countries,c,941,7.53845752485867,8.52959536273387,9.65970585397501,11.0554710764684,12.8453988468398,14.530163584974,17.1347244784961,19.2571237115679,21.5020660904963,23.3948392574896,25.0170784351014,27.1335725262927,29.4551836248421,31.9821040149574,34.6409591804481,37.4444125442121,40.3635579847844,43.3598781628302,46.3823013925962,49.4232457349653,52.4724881522775
5,"Less developed regions, excluding least developed countries",d,934,18.995441849567,21.1332989754217,23.479235358624,25.6454786300892,26.8777569513489,28.5445680797075,31.0213465036541,33.9865650485758,36.7674928099542,39.5519759781274,42.3832416111973,45.7224817483671,49.0490125642577,52.1238910423479,55.0842562607657,57.8212157346287,60.384496998964,62.8041663134072,65.0935402870436,67.263692244543,69.3916907376527
6,"Less developed regions, excluding China",,948,20.330469948797,22.2888552634094,24.2910743161964,26.3630354017935,28.5522334404296,30.9109238059162,33.3561442247626,35.6864238577234,37.8811135149842,39.607985943857,41.2286361682781,43.0124886395513,44.929233189582,46.8185136807247,48.7860341098615,50.8581054462345,53.0667274070969,55.3937167397267,57.7954738581043,60.2299583492959,62.6613054916323
7,High-income countries,e,1503,58.505642413147,61.1431315238443,63.7617793140584,66.2506882581985,68.6809363057596,70.4481100857766,71.847419072838,73.1141687226539,74.4268633434815,75.6733705012494,76.7989626466246,78.5943741501528,80.0478005603508,80.94610387148,81.8518274917924,82.8448324667189,83.9173274476114,85.0497487455846,86.2078287230756,87.3378061276849,88.3939365585151
8,Middle-income countries,e,1517,19.8926843494072,22.1659216697037,24.5471630397449,26.6764468407662,27.8311793025793,29.3622255179501,31.6565220218451,34.2704304412567,36.7148295505406,39.141756437806,41.6428125470616,44.7210596246824,47.8604777083789,50.8297536906172,53.735090680156,56.4621987399869,59.0467649647946,61.5128413623695,63.8647655019146,66.1120664402253,68.3227684938597
9,Upper-middle-income countries,e,1502,22.0755839695304,25.0777192222528,28.4046821218538,31.2635344306468,32.1903063032375,33.5909074524557,36.2780461806876,39.7915879770095,42.9144869601138,46.4404783646849,50.2600856325874,55.0215043739038,59.7618511966454,64.1181834164542,68.2004750087783,71.7475629945065,74.7611007537106,77.2752895405966,79.3363810138689,81.0178671810661,82.5631794407573
10,Lower-middle-income countries,e,1501,17.2107393624667,18.5604060081586,19.8522607789298,21.1718465406143,22.589011815042,24.3348052033521,26.3472902934981,28.1617414304648,30.0243565794753,31.590803428298,33.1446154087688,35.0240330014585,37.1160607633811,39.2484654334432,41.5984377993293,44.1756098491069,46.9500212568044,49.8866633367616,52.920345703463,55.9888345694864,59.0308173604987
11,Low-income countries,e,1500,9.31563174080871,10.3879247174202,11.9019496992448,13.4683042067808,15.6617155436872,17.4743780440968,19.107085721508,20.8850016543754,22.7641139321827,24.349608575032,25.6772133309613,27.1567492545409,28.9075435932955,30.9313603534316,33.1739484967754,35.6538892067876,38.3422966287061,41.1955511145647,44.1561162702572,47.1665818988534,50.2123020400424
12,Sub-Saharan Africa,f,947,11.1024192951611,12.8505865701885,14.8944198043183,16.5150586549867,18.3002794072476,20.416871962755,22.5936391361804,24.8972372204777,27.4739347383213,29.5699874299639,31.416784608773,33.7011036854497,36.1489168998443,38.7756124602741,41.4495586215257,44.1892374167713,46.9681770464154,49.7504535163423,52.5176987258172,55.2865143246131,58.0506553746309
13,AFRICA,,903,14.2821355168558,16.3070977472886,18.5901844991579,20.5750756827054,22.5502405482389,24.6947749752012,26.7943088922557,29.0743566723469,31.5350911920349,33.4509389734807,34.9815929968634,36.878156196996,38.9335812484378,41.1540083777797,43.451733808575,45.8629594578714,48.3707461130248,50.9478568807788,53.5714225433831,56.2370218941792,58.9074820385409
14,Eastern Africa,,910,5.74706911897366,6.67450587046013,7.73830831690147,9.0657639907508,10.6559320175966,12.4638017261527,14.5598722983884,16.199446620526,18.0475264389626,19.7279006342392,21.044651435433,22.5163906181598,24.3534794443804,26.5598879217412,28.9700193914092,31.623186604914,34.4915398307803,37.5282449813015,40.6603826016375,43.8455330353081,47.0896452263856
15,Burundi,,108,1.731,1.896,2.077,2.294,2.845,3.525,4.339,5.221,6.271,7.211,8.246,9.375,10.642,12.078,13.708,15.544,17.598,19.859,22.324,25,27.881
