Index,"Region, subregion, country or area",Note,"Country
code",1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
16,Comoros,,174,6.601,9.15,12.551,16.978,19.39,21.239,23.215,25.469,27.869,28.301,28.08,27.875,27.973,28.47,29.38,30.722,32.523,34.551,36.636,38.773,40.954
17,Djibouti,,262,39.81,45.011,50.325,56.109,61.777,67.142,72.096,74.925,75.957,76.3,76.532,76.761,76.999,77.417,78.062,78.92,79.969,81.184,82.417,83.587,84.692
18,Eritrea,,232,7.1,8.351,9.799,11.466,12.678,13.511,14.39,15.757,18.905,22.514,26.587,31.099,35.175,38.206,41.347,44.557,47.786,50.964,54.056,57.119,60.129
19,Ethiopia,,231,4.6,5.444,6.433,7.587,8.588,9.46,10.41,11.453,12.621,13.827,14.74,15.7,17.319,19.428,21.695,24.173,26.856,29.724,32.74,35.84,39.051
20,Kenya,,404,5.59,6.419,7.362,8.605,10.295,12.914,15.583,16.079,16.748,18.263,19.892,21.675,23.571,25.658,27.995,30.588,33.427,36.479,39.664,42.942,46.283
21,Madagascar,,450,7.8,9.122,10.642,12.379,14.1,16.334,18.524,20.933,23.566,25.796,27.121,28.814,31.938,35.193,38.534,41.904,45.24,48.451,51.626,54.788,57.911
22,Malawi,,454,3.506,3.924,4.39,4.908,6.053,7.652,9.05,10.163,11.56,13.263,14.61,15.054,15.544,16.313,17.427,18.933,20.886,23.32,26.033,28.942,32.035
23,Mauritius,1,480,29.327,31.619,35.111,38.767,42.556,43.443,42.351,42.325,43.9,43.284,42.67,42.112,41.555,41,40.76,41.043,41.85,43.19,45.069,47.276,49.495
24,Mayotte,,175,8.52,11.881,16.333,22.033,25.146,27.544,30.08,32.999,36.057,41.458,47.731,50.232,48.954,46.989,45.751,45.334,45.735,46.957,48.966,51.175,53.379
25,Mozambique,,508,5.472,6.133,6.868,7.86,8.99,10.869,13.158,18.326,25,27.495,29.098,29.999,31.83,34.4,37.074,39.904,42.874,45.953,49.09,52.205,55.29
26,Réunion,,638,23.493,27.926,32.838,38.154,41.662,44.459,53.48,67.916,81.227,86.119,91.169,96.302,98.501,99.339,99.659,99.794,99.853,99.877,99.886,99.895,99.903
27,Rwanda,,646,2.114,2.345,2.6,2.882,3.194,3.998,4.721,5.057,5.416,9.837,14.926,16.912,16.934,17.004,17.432,18.289,19.619,21.485,23.931,26.681,29.624
28,Seychelles,,690,27.399,27.455,27.673,33.123,39.068,46.266,49.366,49.292,49.27,49.633,50.433,51.67,53.336,55.4,57.546,59.663,61.745,63.784,65.775,67.712,69.59
29,Somalia,,706,12.726,14.873,17.312,19.964,22.678,25.498,26.763,28.067,29.658,31.425,33.247,36.311,39.31,43.245,46.141,49.119,52.144,55.167,58.119,60.985,63.778
30,South Sudan,,728,8.865,8.806,8.748,8.69,8.633,8.576,8.519,9.844,13.276,15.873,16.504,17.154,17.86,18.852,20.199,21.943,24.131,26.779,29.684,32.764,35.999
31,Uganda,,800,2.82,3.532,4.417,5.509,6.664,7.04,7.534,9.152,11.076,12.846,14.786,16.96,19.383,22.06,24.954,28.012,31.193,34.438,37.666,40.866,44.148
32,United Republic of Tanzania,2,834,3.491,4.409,5.246,6.03,7.852,11.146,14.555,16.767,18.884,20.543,22.309,24.845,28.114,31.617,35.227,38.862,42.447,45.901,49.128,52.29,55.433
33,Zambia,,894,11.5,14.509,18.145,23.372,30.351,34.934,39.815,39.655,39.407,37.104,34.802,36.911,39.355,41.907,44.629,47.498,50.478,53.513,56.522,59.486,62.381
34,Zimbabwe,,716,10.644,11.59,12.608,14.62,17.362,19.873,22.371,25.414,28.988,31.732,33.758,34.11,33.196,32.385,32.242,32.853,34.238,36.426,39.403,42.643,45.947
35,Middle Africa,,911,13.9133934901206,15.6272923241709,17.5890139814687,19.5759312311463,21.9209507963724,25.1747324377281,28.0854596215633,30.9611783935081,34.0310122260937,36.9392464040249,39.7336844800295,42.5596312515649,45.1824940212475,47.8933227435205,50.6368306776405,53.4298193699786,56.242268096974,59.0272052828596,61.7495796883742,64.4041210465585,66.9923184885553
36,Angola,,24,7.576,8.902,10.435,12.504,14.957,19.128,24.298,30.338,37.144,44.169,50.087,56,59.783,63.446,66.825,69.86,72.546,74.889,76.89,78.691,80.388
37,Cameroon,,120,9.333,11.434,13.937,16.88,20.3,27.292,31.921,36.232,39.657,42.573,45.542,48.541,51.559,54.578,57.56,60.464,63.242,65.858,68.377,70.793,73.098
38,Central African Republic,,140,14.418,17.072,20.1,23.519,27.492,31.971,33.874,35.532,36.825,37.231,37.639,38.069,38.904,40.277,42.198,44.666,47.646,50.823,53.993,57.131,60.213
39,Chad,,148,4.5,5.495,6.695,8.406,11.568,15.566,18.787,19.779,20.811,21.473,21.637,21.801,21.985,22.515,23.52,25.038,27.117,29.798,32.824,36,39.303
40,Congo,,178,24.926,28.143,31.601,35.273,39.129,43.264,47.857,52.221,54.324,56.413,58.695,60.988,63.256,65.543,67.829,70.085,72.28,74.372,76.357,78.232,79.998
41,Democratic Republic of the Congo,,180,19.1,20.654,22.3,23.434,24.608,25.821,27.072,28.513,30.633,32.838,35.122,37.481,40.013,42.74,45.638,48.669,51.762,54.847,57.895,60.884,63.794
42,Equatorial Guinea,,226,15.463,20.355,25.537,26.502,26.954,27.41,27.872,29.94,34.745,40.494,49.092,57.74,65.94,70.616,73.1,75.29,77.207,78.874,80.31,81.589,82.803
43,Gabon,,266,11.4,14.135,17.398,23.775,32,42.971,54.682,62.402,69.143,74.797,78.879,82.452,85.533,88.118,90.092,91.568,92.663,93.462,94.033,94.522,94.974
44,Sao Tome and Principe,,678,13.49,14.735,16.073,21.833,29.518,31.639,33.482,38.049,43.648,48.631,53.424,59.165,64.952,70.174,74.354,77.593,80.032,81.8,83.053,84.185,85.255
45,Northern Africa,,912,25.9265056945264,28.6365267706073,31.4503742606975,34.491252651731,37.0309884884465,39.3914049857753,41.31529705082,43.5345296310193,45.7202679357791,47.3141585550075,48.3064765085678,49.3427398824552,50.4524414567869,51.3932695254933,52.4562410067823,53.7671487360065,55.3457805907129,57.2137486636688,59.3587058538775,61.7066254707035,64.0680175602619
46,Algeria,,12,22.213,26.149,30.51,37.643,39.5,40.33,43.542,47.968,52.085,55.997,59.919,63.83,67.54,70.848,73.733,76.212,78.308,80.049,81.63,83.111,84.496
47,Egypt,,818,31.928,34.837,37.864,39.686,41.477,43.291,43.858,43.938,43.478,42.814,42.797,43.027,43.019,42.785,42.783,43.444,44.773,46.769,49.415,52.508,55.608
48,Libya,,434,19.547,23.208,27.323,33.666,49.671,62.785,70.094,75.45,75.723,75.994,76.387,77.08,78.052,79.27,80.691,82.204,83.631,84.964,86.207,87.363,88.434
49,Morocco,,504,26.184,27.74,29.357,31.862,34.477,37.714,41.21,44.779,48.391,51.692,53.335,55.174,58.018,60.809,63.532,66.16,68.672,71.042,73.244,75.284,77.218
50,Sudan,,729,6.824,8.584,10.746,13.373,16.523,18.943,19.959,22.937,28.61,32.232,32.495,32.76,33.089,33.894,35.253,37.185,39.705,42.772,46.014,49.291,52.573
51,Tunisia,,788,32.293,35.244,37.511,39.724,43.482,47.588,50.569,53.839,57.946,61.474,63.432,65.237,66.657,68.056,69.568,71.22,72.985,74.827,76.702,78.516,80.226
52,Western Sahara,,732,31,31.095,31.19,36.185,42.092,59.458,75.688,82.281,84.089,85.522,85.775,86.023,86.268,86.51,86.829,87.273,87.831,88.488,89.226,89.985,90.696
53,Southern Africa,,913,37.6637856727479,39.763134460755,41.9805672216877,42.8737879062387,43.7307308992704,44.3069361684035,44.7635821535464,45.9557669490638,48.8398222821756,51.4353488407533,53.8496623546776,56.5343586055891,59.3619997853806,62.0596405476228,64.6322339844915,67.0903314387981,69.4106080256666,71.5735343007693,73.5596535366164,75.4231786933046,77.1928973745463
54,Botswana,,72,2.716,2.883,3.06,3.839,7.834,11.884,16.479,26.724,41.933,48.981,53.219,55.944,62.412,67.155,70.877,74.093,76.822,79.103,80.976,82.504,83.905
55,Lesotho,,426,1.75,2.049,3.512,6.366,8.608,10.822,11.45,11.752,13.967,16.955,19.548,22.249,24.798,26.908,29.028,31.39,34.001,36.85,39.908,43.097,46.351
56,Namibia,,516,13.408,15.526,17.909,20.035,22.292,23.651,25.066,26.366,27.656,29.813,32.373,36.632,41.616,46.9,52.033,56.681,60.762,64.233,67.077,69.492,71.807
57,South Africa,,710,42.23,44.413,46.619,47.248,47.809,48.109,48.425,49.372,52.037,54.486,56.891,59.536,62.218,64.828,67.354,69.773,72.065,74.209,76.184,78.045,79.798
58,Swaziland,,748,2.2,2.526,3.913,6.494,9.705,14.004,16.478,18.266,20.202,22.286,22.686,22.038,22.48,23.3,24.171,25.245,26.535,28.056,29.824,31.77,33.783
59,Western Africa,,914,9.27627578347212,11.673975049194,14.6493382371251,16.6150460150997,18.6609095485908,21.0988398516022,23.6397195904432,26.8544728967681,30.1877764904564,32.2509180137576,34.5425180497993,37.7854947086782,41.1406157395649,44.451007430899,47.6531998602649,50.7179034662116,53.6119070713409,56.3039576871767,58.8512932412095,61.3569043031239,63.8041872809574
60,Benin,,204,4.957,6.804,9.275,12.519,16.691,21.904,27.339,30.796,34.485,36.758,38.333,40.543,43.093,45.695,48.415,51.241,54.138,57.059,59.931,62.73,65.446
61,Burkina Faso,,854,3.837,4.247,4.7,5.198,5.746,6.347,8.805,12.334,13.815,15.131,17.844,21.537,24.633,27.53,30.607,33.817,37.115,40.444,43.721,46.932,50.171
62,Cabo Verde,,132,14.2,15.399,16.679,18.073,19.559,21.419,23.518,31.5,44.12,48.768,53.435,57.689,61.821,64.3,66.652,68.835,70.851,72.703,74.392,75.959,77.459
63,Côte d'Ivoire,,384,9.962,13.121,17.679,24.5,28.163,32.229,36.829,37.91,39.345,41.21,43.155,45.234,47.33,49.444,51.706,54.144,56.73,59.422,62.157,64.842,67.436
64,Gambia,,270,10.265,11.163,12.129,14.533,19.496,24.426,28.414,33.019,38.312,43.362,47.868,52.02,55.662,59.228,62.582,65.678,68.494,71.016,73.229,75.283,77.229
65,Ghana,,288,15.444,19.089,23.252,26.067,28.958,30.049,31.163,32.896,36.441,40.14,43.929,47.308,50.713,54.086,57.349,60.463,63.39,66.091,68.56,70.923,73.178
66,Guinea,,324,6.711,8.402,10.472,12.978,15.977,19.515,23.617,26.621,28.026,29.475,30.869,32.257,33.678,35.141,36.875,38.963,41.405,44.189,47.264,50.448,53.628
67,Guinea-Bissau,,624,10.014,11.688,13.6,14.349,15.132,15.95,17.804,23.704,30.83,34.371,36.243,38.157,40.111,42.123,44.196,46.322,48.489,50.683,52.88,55.066,57.232
68,Liberia,,430,12.97,15.592,18.632,22.108,26.025,30.382,35.167,42.373,55.422,45.96,44.331,46.051,47.813,49.82,52.089,54.596,57.3,60.123,62.913,65.62,68.229
69,Mali,,466,8.472,9.692,11.066,12.608,14.33,16.244,18.484,21.013,23.322,25.519,28.356,32.06,35.999,39.991,43.909,47.669,51.187,54.372,57.378,60.331,63.21
70,Mauritania,,478,3.102,4.638,6.88,10.09,14.564,20.569,27.371,34.994,39.323,38.705,38.091,42.111,46.588,51.089,55.327,59.201,62.662,65.68,68.238,70.604,72.864
71,Niger,,562,4.857,5.306,5.793,6.809,8.794,11.419,13.443,14.536,15.368,15.773,16.186,16.242,16.221,16.247,16.626,17.428,18.695,20.492,22.868,25.552,28.434
72,Nigeria,,566,9.35,12.055,15.41,16.551,17.76,19.78,21.97,25.635,29.68,32.205,34.84,39.074,43.48,47.838,51.958,55.762,59.189,62.184,64.856,67.441,69.923
73,Saint Helena,3,654,51.358,50.282,49.204,48.129,46.388,44.477,43.785,43.533,42.573,41.273,40.365,39.901,39.5,39.54,40.082,41.133,42.7,44.77,46.981,49.204,51.429
74,Senegal,,686,17.23,19.958,23,26.351,30,33.693,35.769,37.549,38.896,39.606,40.32,41.714,43.773,45.862,48.122,50.589,53.237,56.025,58.888,61.723,64.479
75,Sierra Leone,,694,12.56,14.796,17.352,20.379,23.969,27.729,29.819,31.997,33.252,34.429,35.626,36.919,38.856,40.829,42.923,45.268,47.849,50.638,53.587,56.589,59.55
76,Togo,,768,4.384,6.695,10.098,14.95,21.28,22.927,24.663,26.562,28.589,30.705,32.907,35.185,37.533,40.1,42.8,45.642,48.599,51.628,54.665,57.648,60.578
77,ASIA,,935,17.5343387892265,19.3136512054843,21.1807715621165,22.9052092421809,23.7198005782873,25.0061226944464,27.1304322708792,29.7713187357734,32.2720690843914,34.8356077932378,37.522338815865,41.1540796571031,44.7502373776977,47.9620477524271,51.0757610748435,53.9521688371375,56.6504188530328,59.2066994165585,61.6268976161654,63.9178333442194,66.180455402168
78,Eastern Asia,,906,17.8733513162337,20.2450247072413,22.9035665412364,25.0554814178662,25.0319633407148,25.5419445175912,27.5144803293708,30.7363427299503,33.8900808455335,37.7981030502744,42.0366656516093,48.3257581517691,54.4039096176788,59.7504760364959,64.8246493172897,69.1961026384345,72.825017399339,75.7471604513837,78.0236381145254,79.7639397089411,81.3557230359168
79,China,4,156,11.803,13.856,16.203,18.086,17.4,17.4,19.358,22.874,26.442,30.961,35.877,42.522,49.226,55.5,61.428,66.481,70.626,73.918,76.436,78.318,80.028
80,"China, Hong Kong SAR",5,344,85.2,85.2,85.2,86.422,87.729,89.695,91.478,92.92,99.517,100,100,100,100,100,100,100,100,100,100,100,100
81,"China, Macao SAR",6,446,96.89,96.169,95.289,96.177,97.032,97.891,98.519,99.377,99.763,99.91,100,100,100,100,100,100,100,100,100,100,100
82,"China, Taiwan Province of China",,158,26.842,29.074,31.412,33.857,36.484,39.784,48.718,57.73,66.257,68.381,69.866,72.292,74.687,76.916,78.942,80.77,82.406,83.858,85.149,86.35,87.469
83,Dem. People's Republic of Korea,,408,31,35.463,40.195,45.091,54.2,56.7,56.9,57.644,58.384,59.018,59.412,59.805,60.377,61.277,62.381,63.815,65.551,67.553,69.764,72.022,74.175
84,Japan,,392,53.402,58.421,63.272,67.866,71.877,75.716,76.175,76.712,77.339,78.016,78.649,85.978,90.812,91.381,91.782,92.226,92.704,93.207,93.724,94.236,94.71
85,Mongolia,,496,20,26.619,35.679,42.114,45.052,48.656,52.083,55.04,57.033,56.805,57.133,62.494,67.567,68.23,68.657,69.452,70.611,72.103,73.878,75.832,77.717
86,Republic of Korea,,410,21.354,24.392,27.71,32.351,40.704,48.033,56.72,64.876,73.844,78.239,79.621,81.345,81.936,81.634,81.414,81.555,82.049,82.873,83.982,85.249,86.442
87,South-Central Asia,7,921,16.5777165104522,17.4452492081929,18.2165487623296,19.3081635307489,20.4976953479466,22.2578401163808,24.3603396017102,25.9000792271896,27.2896333228115,28.4404900626789,29.6415942622821,31.2918388992805,33.088854951892,34.9790064603113,37.0785123518295,39.4256309706478,42.0243786006573,44.862765242704,47.8717873383732,50.9621114479797,54.0603983659146
88,Central Asia,,5500,32.6703514234697,35.8824427701458,38.9294269307702,40.9283973835174,42.8456521569473,44.3733860161791,45.2466419092586,45.4314956544015,45.2019012259922,45.2393936552296,45.6564375489218,46.7990905623731,47.9817301945437,48.113700013558,48.33493795536,49.1312966624368,50.5213101307799,52.4789210298707,54.9226692798546,57.6822017288796,60.4527834868923
89,Kazakhstan,,398,36.358,40.43,44.198,47.047,50.236,52.564,54.142,56.01,56.266,55.921,56.098,56.463,56.827,57.191,57.671,58.613,60.024,61.877,64.123,66.639,69.105
90,Kyrgyzstan,,417,26.481,30.587,34.181,35.851,37.466,38.186,38.627,38.377,37.777,36.349,35.298,35.29,35.306,35.777,36.856,38.557,40.894,43.853,47.077,50.325,53.571
91,Tajikistan,,762,29.378,31.242,33.168,35.152,36.876,35.536,34.289,33.235,31.658,28.877,26.501,26.51,26.52,26.742,27.506,28.836,30.769,33.342,36.434,39.666,42.991
92,Turkmenistan,,795,44.963,45.686,46.412,47.139,47.78,47.557,47.078,45.976,45.075,44.794,45.913,47.052,48.491,50.317,52.516,55.058,57.878,60.754,63.557,66.271,68.882
93,Uzbekistan,,860,28.872,31.592,33.978,35.289,36.714,39.087,40.782,40.722,41.365,43.731,46.126,48.537,50.956,50.75,50.416,50.747,51.768,53.468,55.817,58.669,61.534
94,Southern Asia,,5501,16.0085147770635,16.7474228373152,17.3651426364209,18.3604725612073,19.4932833964332,21.2685579412774,23.4428092161335,25.0583403835818,26.5314134448087,27.7604838148573,29.0291218067742,30.7164697972005,32.53731556919,34.4840714558387,36.6492112821065,39.0535646052657,41.6980571798319,44.5692144763858,47.5979219225358,50.6983993809517,53.8069587463814
95,Afghanistan,,4,6,7.107,8.401,9.904,11.643,13.641,15.995,18.997,21.177,21.624,22.078,22.703,23.737,24.803,26.026,27.613,29.589,31.978,34.788,37.923,41.174
96,Bangladesh,,50,4.282,4.687,5.135,6.211,7.593,9.836,14.851,17.496,19.811,21.693,23.59,26.809,30.462,34.308,38.177,41.982,45.634,49.038,52.178,55.288,58.356
97,Bhutan,,64,2.1,2.751,3.596,4.687,6.089,7.876,10.132,12.941,16.388,20.537,25.418,30.965,34.793,38.678,42.316,45.636,48.583,51.121,53.328,55.505,57.661
98,India,,356,17.042,17.582,17.924,18.785,19.76,21.332,23.098,24.348,25.547,26.607,27.667,29.235,30.93,32.777,34.926,37.383,40.142,43.172,46.369,49.603,52.841
99,Iran (Islamic Republic of),,364,27.549,30.554,33.735,37.068,41.212,45.747,49.693,53.395,56.33,60.236,64.042,67.558,70.626,73.358,75.874,78.128,80.129,81.889,83.424,84.755,85.984
100,Maldives,,462,10.612,10.889,11.173,11.458,11.893,17.304,22.25,25.491,25.84,25.638,27.706,33.75,36.434,38.529,40.669,42.845,45.046,47.261,49.471,51.675,53.873
101,Nepal,,524,2.677,3.053,3.48,3.737,3.956,4.83,6.091,7.386,8.854,10.883,13.397,15.149,16.768,18.557,20.576,22.838,25.35,28.099,31.036,34.136,37.378
102,Pakistan,,586,17.521,19.712,22.104,23.511,24.817,26.341,28.066,29.344,30.576,31.836,32.982,33.982,34.997,36.026,37.165,38.708,40.68,43.082,45.897,49.027,52.202
103,Sri Lanka,,144,15.327,15.647,16.431,17.11,17.598,18.097,18.607,18.613,18.535,18.458,18.38,18.303,18.226,18.256,18.713,19.641,21.085,23.111,25.72,28.579,31.621
104,South-Eastern Asia,,920,15.576719763887,17.0606529959103,18.5800954387994,19.9458816711972,21.4903775592626,23.2158135235702,25.4977008821272,28.3203949337211,31.4560165417685,34.5149474323661,37.8877441206997,41.0913860902247,44.3314615285148,47.1804537681251,49.9866569020216,52.7827371065199,55.5634482353415,58.3045389559489,60.9715156237521,63.5375968872892,66.0415874196797
105,Brunei Darussalam,,96,26.756,34.608,43.401,52.625,61.675,64.193,64.949,65.697,66.438,68.644,71.164,73.163,74.961,76.663,78.25,79.726,81.093,82.355,83.525,84.631,85.675
106,Cambodia,,116,10.2,10.242,10.285,10.83,15.97,4.477,9.898,13.931,15.546,17.311,18.586,19.174,20.294,22.188,24.232,26.51,29.034,31.798,34.78,37.913,41.153
107,Indonesia,,360,12.4,13.455,14.586,15.789,17.071,19.317,22.104,26.089,30.584,36.076,42.002,45.942,49.914,53.313,56.641,59.828,62.841,65.646,68.207,70.557,72.805
108,Lao People's Democratic Republic,,418,7.239,7.585,7.946,8.323,9.625,11.081,12.377,13.804,15.437,17.378,21.977,27.186,30.064,33.108,36.29,39.566,42.891,46.207,49.439,52.566,55.677
109,Malaysia,8,458,20.361,23.417,26.598,29.913,33.454,37.652,42.044,45.893,49.794,55.688,61.977,66.594,70.912,74.213,77.16,79.67,81.786,83.549,84.998,86.206,87.325
110,Myanmar,,104,16.158,17.616,19.226,20.971,22.83,23.922,23.973,24.381,25.243,26.124,27.025,27.946,28.885,29.858,31.141,32.846,34.99,37.587,40.615,43.848,47.134
111,Philippines,,608,27.135,28.702,30.297,31.604,32.979,35.56,37.456,42.235,46.986,46.56,46.135,45.71,45.332,46.284,47.408,48.958,50.924,53.285,55.999,58.912,61.777
112,Singapore,,702,99.445,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
113,Thailand,,764,16.479,18.041,19.672,20.221,20.889,23.758,26.791,28.095,29.424,30.276,31.386,37.411,43.856,47.694,51.43,55.024,58.42,61.574,64.447,67.018,69.463
114,Timor-Leste,,626,9.892,9.991,10.091,11.353,12.886,14.593,16.483,18.563,20.842,22.534,24.263,26.041,27.732,29.49,31.32,33.23,35.217,37.274,39.391,41.552,43.746
115,Viet Nam,,704,11.641,13.094,14.7,16.421,18.3,18.782,19.247,19.561,20.257,22.166,24.374,27.281,30.417,33.809,37.34,40.909,44.455,47.909,51.196,54.281,57.325
116,Western Asia,,922,28.8837890623665,32.5716662865763,36.3967094607128,40.3715717682525,44.7560361637794,48.9193516463498,52.0928639543077,57.4182434864625,61.1173892860974,62.426488308768,63.8309084537358,65.8237160755633,68.2446912929019,70.3708335989358,72.3362055516517,73.8223338100154,75.3733037769825,76.9455928527099,78.4855482451487,79.9818258375455,81.4300182257816
117,Armenia,,51,40.339,45.951,51.275,55.622,59.864,63.611,66.05,67.09,67.421,66.057,64.666,63.938,63.44,63.085,63.313,64.142,65.548,67.484,69.804,72.083,74.253
118,Azerbaijan,9,31,45.691,50.026,52.663,51.164,50.008,51.897,52.777,53.498,53.749,52.206,51.386,52.389,53.406,54.714,56.397,58.431,60.779,63.376,66,68.529,70.953
119,Bahrain,,48,64.4,75.528,82.32,82.5,83.775,84.975,86.101,87.155,88.14,88.388,88.372,88.422,88.634,88.999,89.506,90.133,90.828,91.484,92.096,92.668,93.202
120,Cyprus,10,196,28.384,32.334,35.628,38.188,40.761,47.277,58.614,64.678,66.776,68.038,68.648,68.268,67.551,66.946,66.821,67.198,68.067,69.407,71.12,72.828,74.472
121,Georgia,11,268,36.91,40.067,43.069,45.534,48.006,50.344,52.497,54.194,55.038,53.841,52.638,53.605,55.535,57.448,59.453,61.603,63.871,66.221,68.602,70.929,73.153
122,Iraq,,368,35.122,37.631,42.899,50.651,56.154,61.379,65.521,68.767,69.706,68.78,68.496,68.766,69.103,69.921,70.893,72.117,73.564,75.2,76.975,78.764,80.451
123,Israel,,376,71,71,76.848,80.94,84.195,86.643,88.583,89.828,90.359,90.866,91.203,91.518,91.826,92.179,92.587,93.039,93.525,94.033,94.522,94.973,95.389
